# Sample of 1000 probability pixels from cumulative_reduced3Dmap-64nside-2000max-100step.npz using dist method
# dec,ra,d_l,weight
1.888620,0.822214,500.000000,1.18475557e-11
1.910633,0.846757,800.000000,1.15232954e-11
0.676214,5.180607,1400.000000,1.08792678e-11
0.676214,5.180607,1400.000000,1.08792678e-11
0.676214,5.180607,1400.000000,1.08792678e-11
0.676214,5.180607,1400.000000,1.08792678e-11
1.899606,0.834486,400.000000,1.08055938e-11
0.676214,5.180607,1600.000000,1.07626512e-11
0.676214,5.180607,1600.000000,1.07626512e-11
0.676214,5.150399,1500.000000,1.07078646e-11
0.676214,5.150399,1500.000000,1.07078646e-11
1.943982,0.859029,500.000000,1.06377051e-11
1.943982,0.859029,500.000000,1.06377051e-11
1.899606,0.883573,600.000000,1.06048459e-11
1.899606,0.883573,600.000000,1.06048459e-11
1.943982,0.883573,800.000000,1.02839916e-11
1.943982,0.883573,800.000000,1.02839916e-11
0.676214,5.150399,1600.000000,1.01988502e-11
0.676214,5.150399,1600.000000,1.01988502e-11
0.676214,5.150399,1600.000000,1.01988502e-11
0.676214,5.150399,1600.000000,1.01988502e-11
1.955193,0.871301,600.000000,1.01371228e-11
1.932819,0.895845,400.000000,9.80057062e-12
1.932819,0.846757,500.000000,9.59018170e-12
1.932819,0.846757,500.000000,9.59018170e-12
1.943982,0.908117,500.000000,9.47894734e-12
1.943982,0.908117,500.000000,9.47894734e-12
1.445468,4.405593,1000.000000,9.26369682e-12
0.676214,5.150399,1400.000000,9.06736063e-12
1.877674,0.859029,600.000000,8.99925102e-12
1.445468,4.405593,1100.000000,8.62419857e-12
1.445468,4.405593,1100.000000,8.62419857e-12
1.888620,0.871301,500.000000,8.56945842e-12
1.445468,4.405593,900.000000,8.49598304e-12
1.455961,4.417865,1000.000000,8.00198511e-12
1.455961,4.417865,1000.000000,8.00198511e-12
1.866765,0.822214,600.000000,7.96481598e-12
0.676214,5.180607,1300.000000,7.95845898e-12
1.466440,4.405593,1200.000000,7.89032560e-12
1.466440,4.405593,1200.000000,7.89032560e-12
1.466440,4.405593,1200.000000,7.89032560e-12
0.676214,5.180607,1700.000000,7.78875752e-12
1.476908,4.417865,1000.000000,7.58355790e-12
1.943982,0.908117,700.000000,7.51144305e-12
1.888620,0.846757,800.000000,7.49483360e-12
1.888620,0.846757,800.000000,7.49483360e-12
1.888620,0.846757,800.000000,7.49483360e-12
1.888620,0.846757,800.000000,7.49483360e-12
1.921704,0.834486,600.000000,7.48221408e-12
1.921704,0.834486,600.000000,7.48221408e-12
1.455961,4.417865,1100.000000,7.33324770e-12
1.932819,0.846757,700.000000,7.23753986e-12
1.877674,0.834486,400.000000,7.22972786e-12
1.877674,0.859029,500.000000,7.06663603e-12
1.877674,0.859029,500.000000,7.06663603e-12
1.455961,4.393321,1100.000000,7.00886492e-12
1.455961,4.393321,1100.000000,7.00886492e-12
1.955193,0.895845,400.000000,7.00511848e-12
1.932819,0.895845,800.000000,6.96738715e-12
1.932819,0.895845,800.000000,6.96738715e-12
1.932819,0.895845,800.000000,6.96738715e-12
1.888620,0.871301,700.000000,6.82344179e-12
1.888620,0.871301,700.000000,6.82344179e-12
1.476908,4.417865,900.000000,6.59404804e-12
1.910633,0.895845,600.000000,6.57199634e-12
1.434962,4.393321,1000.000000,6.56192587e-12
1.434962,4.393321,1000.000000,6.56192587e-12
1.487366,4.405593,1000.000000,6.23720249e-12
1.955193,0.871301,700.000000,6.15190085e-12
1.082921,5.743224,1000.000000,6.11159782e-12
1.082921,5.743224,1100.000000,6.09417225e-12
1.455961,4.417865,800.000000,5.99939158e-12
1.466440,4.405593,800.000000,5.91724868e-12
1.424441,4.405593,900.000000,5.91528887e-12
1.434962,4.393321,900.000000,5.91341374e-12
1.455961,4.393321,900.000000,5.88233496e-12
1.455961,4.393321,900.000000,5.88233496e-12
1.455961,4.393321,900.000000,5.88233496e-12
1.921704,0.834486,500.000000,5.83103128e-12
1.921704,0.834486,500.000000,5.83103128e-12
1.455961,4.417865,1200.000000,5.76010683e-12
1.455961,4.417865,1200.000000,5.76010683e-12
1.455961,4.417865,1200.000000,5.76010683e-12
1.487366,4.405593,1200.000000,5.69032177e-12
0.676214,5.210815,1300.000000,5.67546184e-12
1.094677,5.730952,1000.000000,5.58029484e-12
1.434962,4.417865,900.000000,5.54074800e-12
1.966456,0.908117,600.000000,5.41443191e-12
0.662706,5.189788,1500.000000,5.17600008e-12
